country,essround,loading_pc1_imbgeco,loading_pc1_imueclt,loading_pc1_imwbcnt,expl_var_pc1
Austria,2002,0.5625443899820891,0.5808263864159293,0.5883744710154353,0.7165529603299647
Austria,2008,NA,NA,NA,NA
Austria,2010,NA,NA,NA,NA
Austria,2012,NA,NA,NA,NA
Austria,2014,0.5673406574128059,0.5813752110461806,0.5832044602259262,0.8057414515567153
Austria,2016,0.568459566103269,0.5795917798075835,0.5838896218337511,0.827233631203223
Austria,2018,0.5684170864549185,0.5809578059536566,0.5825719213347098,0.7965631278410402
Austria,2020,0.5550437278295836,0.5788257520886587,0.5974003757247208,0.7936232008043312
Austria,2022,0.5531168576012682,0.5899679152864318,0.5882173074382289,0.8190471805531403
Belgium,2002,0.581966264347219,0.5585059210382097,0.5910891669849851,0.6772140507319987
Belgium,2008,0.5766981461347122,0.5794855065098983,0.5758609172272008,0.7047910509072042
Belgium,2010,0.5794413373501037,0.581063421270129,0.5715006885663185,0.7119932344567605
Belgium,2012,0.5725185831768552,0.5784682908465345,0.581030901417692,0.7109926503003907
Belgium,2014,0.572445916446152,0.5747054641104701,0.5848241635446455,0.7177045355106925
Belgium,2016,0.5833411248423959,0.5786823738863827,0.5699472275753512,0.7335046003465705
Belgium,2018,0.5724081178265199,0.5784396276713942,0.5811682577237677,0.7290874084924462
Belgium,2020,0.5752037884188163,0.5756053431102122,0.5812220666592217,0.7107392565586722
Belgium,2022,0.579187115796237,0.5725087849518775,0.580324026771735,0.7275770959433933
Switzerland,2002,0.5818751512780822,0.573444787342423,0.5766995614658575,0.6866799197464515
Switzerland,2008,0.5833294283814615,0.5724967664680544,0.5761720492767587,0.7048871558232354
Switzerland,2010,0.5700627893313968,0.5776030376370966,0.5842971394180417,0.6952983825668582
Switzerland,2012,0.5617884471077742,0.5742333173535696,0.5955248424183079,0.6921403468550468
Switzerland,2014,0.5653685646430024,0.5829399886396482,0.583557499958931,0.6970274298867106
Switzerland,2016,0.5685077844119956,0.5808481486194579,0.5825927628355094,0.7475403828841147
Switzerland,2018,0.5703236741660314,0.5802709336880676,0.581391907582602,0.7010776776420208
Switzerland,2020,0.5642571646422052,0.5784235479269233,0.5891010536007972,0.7312529278629889
Switzerland,2022,0.567691851148511,0.5741888322901204,0.5899433422057454,0.7293356732746062
Czechia,2002,0.5842655260838205,0.5876179198266541,0.5597668937411286,0.7201946206773717
Czechia,2008,0.5770090026799661,0.5929367829753347,0.5616819226405027,0.7179412112547884
Czechia,2010,0.5765087264040063,0.5891533532093112,0.5661590013258251,0.7793359373394683
Czechia,2012,0.5829299029114574,0.5838099813375763,0.5651182477873617,0.7969443513287177
Czechia,2014,0.5774867890692413,0.5888380386992728,0.5654898519260018,0.7553959792777318
Czechia,2016,0.5553341976682536,0.5976620751624897,0.5782767268467782,0.7497569986884918
Czechia,2018,0.5621413518497089,0.6054308526646792,0.5634275314379844,0.7521119921892141
Czechia,2020,0.5620350492412107,0.5902831086808497,0.5793810965422516,0.7943581974619055
Czechia,2022,NA,NA,NA,NA
Germany,2002,0.5533037119843325,0.5729286502166778,0.6046550785904755,0.6901991955869488
Germany,2008,0.5607151922030974,0.5744855463654187,0.5962925710168371,0.7487241113666736
Germany,2010,0.5505696623184936,0.5858849646248722,0.5946527181145417,0.7627681864834622
Germany,2012,0.5530974730045374,0.5764230121964149,0.6015145022078908,0.7285225434140565
Germany,2014,0.5590696031956996,0.5811257341035343,0.5913831752300966,0.7458084101567651
Germany,2016,0.5526097610009114,0.5839035604247282,0.5947092433869187,0.7680513363716425
Germany,2018,0.5553690620334599,0.585505078423805,0.5905497507204693,0.7776048777640345
Germany,2020,0.5558811897380094,0.587459978681662,0.588121480939777,0.7910241256767488
Germany,2022,0.5583406478166516,0.5767986231366913,0.5962877403932593,0.7698539404630856
Denmark,2002,0.5548901513703387,0.5829473604853356,0.5935227837373916,0.761467581137746
Denmark,2008,0.5589766364979504,0.5796539756269218,0.5929134746228512,0.7715043453310505
Denmark,2010,0.5573171035920929,0.5860995734613325,0.5881198313542613,0.7887255042869068
Denmark,2012,0.5539158071910727,0.5869521242399912,0.5904781811329055,0.7930480181573346
Denmark,2014,0.5539522993603839,0.5869270470593964,0.5904688742545884,0.7948157648252031
Denmark,2016,NA,NA,NA,NA
Denmark,2018,0.5515626813381843,0.5866291292228429,0.5929965204807545,0.7637522791286427
Denmark,2020,NA,NA,NA,NA
Denmark,2022,NA,NA,NA,NA
Spain,2002,0.568203932961102,0.5817509859616861,0.5819880418875819,0.6843825862043146
Spain,2008,0.5747158001983217,0.5718017048263659,0.5854438994131413,0.7925420137502697
Spain,2010,0.5808424249844352,0.5664594405317235,0.5845902664009103,0.7514704161758438
Spain,2012,0.5687442922580582,0.5738995279491984,0.5892107109036356,0.7762187709773638
Spain,2014,0.5747927538144515,0.5786446267113824,0.5786049482509152,0.7506102146124979
Spain,2016,0.5739504748027041,0.5701208095094492,0.5878291546342705,0.7830212665374107
Spain,2018,0.5795807595900735,0.5685048648913611,0.5838564564238788,0.7814703394718306
Spain,2020,0.5712582127256428,0.577987503930567,0.5827473721035707,0.7915884930691252
Spain,2022,0.5657645768441705,0.580346844535641,0.585754200689898,0.7845167041504932
Finland,2002,0.5760384261778775,0.5617409635661442,0.5938238976483633,0.6930478987307389
Finland,2008,0.5807714186653564,0.5617587802281342,0.5891787777050593,0.7261826591411258
Finland,2010,0.5795163812207108,0.555496214592577,0.5963092481843372,0.7516851930905922
Finland,2012,0.5761963154608475,0.5621038269775739,0.5933271388926257,0.7444084755561845
Finland,2014,0.5679527012496569,0.5645622728237524,0.5989149933398703,0.7604616792952644
Finland,2016,0.5798304924247529,0.5556152074659418,0.5958928941404207,0.7680009398142775
Finland,2018,0.5771222278912232,0.5600152607217992,0.5944012464931129,0.7811265737485729
Finland,2020,0.5705655322164999,0.5667852440014705,0.5943142776584591,0.7682616765325162
Finland,2022,0.5786509339018843,0.5688614026371709,0.5844311775428717,0.7681193513604386
France,2002,0.5664835610801033,0.5819211922280189,0.5834930171492423,0.7929270592264951
France,2008,0.5676294119941288,0.5794034898343415,0.5848832760534242,0.774279282161757
France,2010,0.570081950157607,0.5759147103442114,0.5859426734021363,0.7894427472707835
France,2012,0.5647954879184203,0.5825026615065152,0.5845482924145958,0.7896512230527237
France,2014,0.5708546628080159,0.5822603228315277,0.57887638611924,0.8097359602701037
France,2016,0.5656305182383353,0.5834971434268449,0.5827462573454627,0.79534092593061
France,2018,0.571875733636535,0.5814311303612258,0.5787019836881004,0.7974812801145524
France,2020,0.571122861470501,0.5754392388805645,0.585395899765538,0.8019296899292482
France,2022,0.562734722388366,0.5858426769539532,0.5831963563654309,0.7802131253249711
United Kingdom,2002,0.5630892539119455,0.5755557163817171,0.5930144260211696,0.774400214541615
United Kingdom,2008,0.5649215641963032,0.5730252463685082,0.5937218989815966,0.8200784015800571
United Kingdom,2010,0.5688743643400994,0.5749979860328516,0.5880129876582768,0.8050035069115634
United Kingdom,2012,0.5676542598755732,0.5760754096444618,0.5881375380368784,0.8026181642334382
