variable,country,essround,non_neutrality,avg_deviation_from_neutrality,dispersion,moderate_divergence,moderate_group_consensus,moderate_size_parity
imbgeco,Czechia,2008,0.7888652505484157,0.20388045522676201,0.3579484620997949,0.4253898461459746,0.6726270740856246,0.1629197882110365
imbgeco,Czechia,2010,0.7866550279241993,0.2565171656781011,0.35014775223974937,0.4230907468936768,0.6491737732593719,0.09008559612419524
imbgeco,Czechia,2012,0.7495697842161637,0.2517400816526644,0.34803419053060053,0.41816358725866654,0.6712182744951856,0.13097451631084597
imbgeco,Czechia,2014,0.7870800252038633,0.3191505828335681,0.33296799198525345,0.3996065596472338,0.6937637636600922,0.052494212450200216
imbgeco,Czechia,2016,0.7614926935364247,0.25275462745724814,0.36229829793003754,0.4005746905083376,0.6621240940323341,0.07864268890055835
imbgeco,Czechia,2018,0.8129444053424334,0.19397176844337222,0.392291590443108,0.4238692471691039,0.654993455742608,0.1850839449560242
imbgeco,Czechia,2020,0.8217878822754374,0.14792097505714885,0.457766498313396,0.4621155648470014,0.6286607156610199,0.42917459836843014
imbgeco,Czechia,2022,NA,NA,NA,NA,NA,NA
imbgeco,Germany,2002,0.7017106767423225,0.00935515706558121,0.3402260789957023,0.4144991212661861,0.7134640533395311,0.21657108178255297
imbgeco,Germany,2008,0.7392672203452584,0.019836236395116738,0.3623748451454492,0.4237113255653755,0.7158080504330034,0.21706305648765
imbgeco,Germany,2010,0.7389436941251499,0.030863990180979784,0.3674298070166626,0.41893203041747445,0.7082946565708672,0.20796154616718351
imbgeco,Germany,2012,0.7664730957045578,0.13482744039544503,0.36678038476286295,0.4180187486687107,0.7263312926580852,0.13206100795574122
imbgeco,Germany,2014,0.7817828887018916,0.12494503344669355,0.3732734951887429,0.42159628884996725,0.7153339833329753,0.13882713819220477
imbgeco,Germany,2016,0.7811597783497033,0.15669061509633125,0.3683303440341283,0.4231700430341979,0.708215510926995,0.12829168509116537
imbgeco,Germany,2018,0.791941600839609,0.18616362506458037,0.3808338381562826,0.44418064176057004,0.663913984229381,0.19632658857368085
imbgeco,Germany,2020,0.7677397844998042,0.1760923066845672,0.39687213580009917,0.43936868856040245,0.68984704375763,0.16038673859470515
imbgeco,Germany,2022,0.7894696701029837,0.14602651651206192,0.392616441989984,0.4501122580575956,0.6746012869874369,0.17742692211335054
imbgeco,Denmark,2002,0.7621157073740504,0.16563417201451713,0.3535170792900948,0.43703896991535446,0.686006557643731,0.25630027158749996
imbgeco,Denmark,2008,0.7394805624941915,0.07773264364630546,0.3336780455358782,0.4361374865422687,0.7045699319812804,0.29383223268266573
imbgeco,Denmark,2010,0.7289259489368549,0.090248243687096,0.3184880093904658,0.41227955373081565,0.7272022769680264,0.23068278078277477
imbgeco,Denmark,2012,0.7488830522627359,0.10716789714655964,0.34729388666605443,0.43576847962282667,0.6702153956151508,0.29406162306708633
imbgeco,Denmark,2014,0.7254542539192428,0.15217567180808977,0.34707679894192967,0.43646561475128504,0.6964471861404002,0.25040674288980286
imbgeco,Denmark,2016,NA,NA,NA,NA,NA,NA
imbgeco,Denmark,2018,0.7325803224320895,0.06763506275860376,0.34326511665789927,0.4441299125093971,0.6719245419953208,0.34249294501198774
imbgeco,Denmark,2020,NA,NA,NA,NA,NA,NA
imbgeco,Denmark,2022,NA,NA,NA,NA,NA,NA
imbgeco,Spain,2002,0.6896788342604082,0.06487517219470078,0.30961148312052517,0.41493713202088217,0.6956760982643947,0.14644877529473743
imbgeco,Spain,2008,0.7733322735786499,0.035275972234277475,0.3579002621059147,0.42451117857642906,0.6888741160295145,0.21429814647348366
imbgeco,Spain,2010,0.7612232457097998,0.02626357335779339,0.35462221609795475,0.4126263182010324,0.7116360714919141,0.20057038940713212
imbgeco,Spain,2012,0.750412368129545,0.040872338971351674,0.39269031069586735,0.43801066735631367,0.6724122855046111,0.16885101033983058
imbgeco,Spain,2014,0.7379208001053184,0.009736766602740234,0.36287068013408186,0.4437140558840093,0.6719026117893927,0.32648417333562496
imbgeco,Spain,2016,0.7529518355474025,0.0775024100306812,0.3896541927092799,0.44870930140607435,0.651110703344908,0.27628487292265663
imbgeco,Spain,2018,0.7737433031080704,0.16647682607912168,0.3849169892076872,0.4499770674141148,0.6620117544380854,0.1913115220474757
imbgeco,Spain,2020,0.7358565022615922,0.24915554912704538,0.430746683888838,0.4570827647616989,0.6629207142554813,0.15705306901766086
imbgeco,Spain,2022,0.8064089108839156,0.22948687019730019,0.3755360940656733,0.45002610558185596,0.6230437543002783,0.16056755193566455
